# ln(P)                  Mass, $M/M_{\odot}$    Metallicity, $\log_{10}\left(Z_0\right)$ Age (in Myrs), $t$    
  -9.512753511576575e+03  1.010040595968658e+00 -1.757135425918933e+00  3.815642756025527e+03
  -9.512048796942305e+03  1.010296095356167e+00 -1.757095285228130e+00  3.804169876386782e+03
  -9.512254493421769e+03  1.010314629247989e+00 -1.757098429555740e+00  3.803306362950952e+03
  -9.512272220985833e+03  1.010263714137771e+00 -1.757103708678991e+00  3.805609046462170e+03
  -9.511317231498015e+03  1.010336422239614e+00 -1.757075064135917e+00  3.802397267923307e+03
  -9.510401729591666e+03  1.010290883163238e+00 -1.757042869831132e+00  3.804534835045185e+03
  -9.509903609296014e+03  1.010283247398115e+00 -1.757025263342822e+00  3.804990432029189e+03
  -9.509617647441153e+03  1.010204703687672e+00 -1.757034995423912e+00  3.808532833550682e+03
  -9.509407846115513e+03  1.010139444643533e+00 -1.757043012538451e+00  3.811476848541219e+03
  -9.509445143626383e+03  1.010140462542467e+00 -1.757043655747628e+00  3.811423156299890e+03
  -9.510227989532868e+03  1.010158628292219e+00 -1.757055202180516e+00  3.810462192345622e+03
  -9.511007357084871e+03  1.010185871058611e+00 -1.757073660677543e+00  3.809086803741829e+03
  -9.511195780168275e+03  1.010187700253629e+00 -1.757073487574571e+00  3.808984708540612e+03
  -9.511744399480249e+03  1.010662560682550e+00 -1.757031731718419e+00  3.787720470883178e+03
  -9.510984428374493e+03  1.010456668623575e+00 -1.757032297895761e+00  3.797042803029678e+03
  -9.510984428374493e+03  1.010456668623575e+00 -1.757032297895761e+00  3.797042803029678e+03
  -9.509793690660088e+03  1.010438536491036e+00 -1.756999015944441e+00  3.798107580660530e+03
  -9.512244610608972e+03  1.010995473782459e+00 -1.756965182153850e+00  3.772888037115475e+03
  -9.511168912848127e+03  1.010591959462806e+00 -1.757012606642119e+00  3.790998157948007e+03
  -9.509793690660088e+03  1.010438536491036e+00 -1.756999015944441e+00  3.798107580660530e+03
  -9.509950024286458e+03  1.010470736085668e+00 -1.756998302605360e+00  3.796642881483284e+03
  -9.509672091196146e+03  1.010647477647467e+00 -1.756966589175648e+00  3.788904415785759e+03
  -9.511960599576916e+03  1.010986769843717e+00 -1.756965086659342e+00  3.773544220649022e+03
  -9.512294381572305e+03  1.010162527480563e+00 -1.757015968281634e+00  3.810327112835906e+03
  -9.508253544867221e+03  1.010072390644738e+00 -1.757013749359350e+00  3.814715011443198e+03
  -9.508253544867221e+03  1.010072390644738e+00 -1.757013749359350e+00  3.814715011443198e+03
  -9.508253544867221e+03  1.010072390644738e+00 -1.757013749359350e+00  3.814715011443198e+03
  -9.508253544867221e+03  1.010072390644738e+00 -1.757013749359350e+00  3.814715011443198e+03
  -9.508253544867221e+03  1.010072390644738e+00 -1.757013749359350e+00  3.814715011443198e+03
  -9.508253544867221e+03  1.010072390644738e+00 -1.757013749359350e+00  3.814715011443198e+03
  -9.507917257270672e+03  1.010039258413451e+00 -1.757014015658445e+00  3.816271722097523e+03
  -9.508265376000734e+03  1.010053842119084e+00 -1.757022685550794e+00  3.815542520795014e+03
  -9.508353854614179e+03  1.010056815503291e+00 -1.757025710395379e+00  3.815394137893607e+03
  -9.508356974129003e+03  1.010056353486038e+00 -1.757025917688141e+00  3.815414105614614e+03
  -9.508356974129003e+03  1.010056353486038e+00 -1.757025917688141e+00  3.815414105614614e+03
  -9.508563198975902e+03  1.010009898042232e+00 -1.757042385267597e+00  3.817453045422869e+03
  -9.508563198975902e+03  1.010009898042232e+00 -1.757042385267597e+00  3.817453045422869e+03
  -9.508563198975902e+03  1.010009898042232e+00 -1.757042385267597e+00  3.817453045422869e+03
  -9.508563198975902e+03  1.010009898042232e+00 -1.757042385267597e+00  3.817453045422869e+03
  -9.508563198975902e+03  1.010009898042232e+00 -1.757042385267597e+00  3.817453045422869e+03
  -9.508563198975902e+03  1.010009898042232e+00 -1.757042385267597e+00  3.817453045422869e+03
  -9.508563198975902e+03  1.010009898042232e+00 -1.757042385267597e+00  3.817453045422869e+03
  -9.508432335883203e+03  1.009966644007936e+00 -1.757037606194358e+00  3.819487979719084e+03
  -9.508463207549155e+03  1.009964821852632e+00 -1.757038574388080e+00  3.819567566519794e+03
  -9.507986807186617e+03  1.010044925427517e+00 -1.757006660030381e+00  3.816190553379574e+03
  -9.508652916542158e+03  1.009997302549548e+00 -1.757046601555616e+00  3.818029953287547e+03
  -9.508561436776632e+03  1.010007001728433e+00 -1.757041413016002e+00  3.817631683016763e+03
  -9.508592121643253e+03  1.010030931457786e+00 -1.757038760534484e+00  3.816548533107220e+03
  -9.508592121643253e+03  1.010030931457786e+00 -1.757038760534484e+00  3.816548533107220e+03
  -9.508684748565000e+03  1.010053514378359e+00 -1.757037714413727e+00  3.815527234931290e+03
  -9.508136302214656e+03  1.010023202342812e+00 -1.757021743115757e+00  3.817045177934917e+03
  -9.508137050491436e+03  1.010033937728121e+00 -1.757019073738467e+00  3.816578790139102e+03
  -9.507681440968383e+03  1.010023884179975e+00 -1.757006719149598e+00  3.817109008170738e+03
  -9.508407765567315e+03  1.010073192271862e+00 -1.757025681869202e+00  3.814684489332621e+03
  -9.508407765567315e+03  1.010073192271862e+00 -1.757025681869202e+00  3.814684489332621e+03
  -9.508407765567315e+03  1.010073192271862e+00 -1.757025681869202e+00  3.814684489332621e+03
  -9.507880999236400e+03  1.010029677145257e+00 -1.757010871236477e+00  3.816829358164974e+03
  -9.507807258200688e+03  1.010018239837757e+00 -1.757010593900783e+00  3.817351813825374e+03
  -9.507852826159287e+03  1.009993527837356e+00 -1.757009909493859e+00  3.818525132436933e+03
  -9.507852826159287e+03  1.009993527837356e+00 -1.757009909493859e+00  3.818525132436933e+03
  -9.508187507357268e+03  1.009946136500091e+00 -1.757029158638897e+00  3.820525618868197e+03
  -9.508187507357268e+03  1.009946136500091e+00 -1.757029158638897e+00  3.820525618868197e+03
  -9.508187507357268e+03  1.009946136500091e+00 -1.757029158638897e+00  3.820525618868197e+03
  -9.508024819113660e+03  1.009681634427463e+00 -1.757014408136977e+00  3.833176686524087e+03
  -9.508024819113660e+03  1.009681634427463e+00 -1.757014408136977e+00  3.833176686524087e+03
  -9.508127147392757e+03  1.009629300998840e+00 -1.757015288330586e+00  3.835599187446589e+03
  -9.508150478399055e+03  1.009632964977041e+00 -1.757015954533273e+00  3.835417840441721e+03
  -9.508150478399055e+03  1.009632964977041e+00 -1.757015954533273e+00  3.835417840441721e+03
  -9.508150478399055e+03  1.009632964977041e+00 -1.757015954533273e+00  3.835417840441721e+03
  -9.515377213897393e+03  1.009683785047903e+00 -1.757212974000523e+00  3.831962178333652e+03
  -9.511137919343184e+03  1.009854599757193e+00 -1.757077178319232e+00  3.824772122805662e+03
  -9.511137919343184e+03  1.009854599757193e+00 -1.757077178319232e+00  3.824772122805662e+03
  -9.512121204517469e+03  1.009413650367907e+00 -1.757144284503631e+00  3.844977597323978e+03
  -9.510916562168208e+03  1.009532508405829e+00 -1.757107421302775e+00  3.839617377879105e+03
  -9.511381631052294e+03  1.009372923920361e+00 -1.757116977857508e+00  3.847126858352304e+03
  -9.510423802054662e+03  1.009590835053697e+00 -1.757090863561111e+00  3.836995774781453e+03
  -9.508146294092201e+03  1.010239111020022e+00 -1.756979803470593e+00  3.807498153803178e+03
  -9.508823947275561e+03  1.010382279632564e+00 -1.756982047771631e+00  3.800824399309876e+03
  -9.508823947275561e+03  1.010382279632564e+00 -1.756982047771631e+00  3.800824399309876e+03
  -9.508823947275561e+03  1.010382279632564e+00 -1.756982047771631e+00  3.800824399309876e+03
  -9.508823947275561e+03  1.010382279632564e+00 -1.756982047771631e+00  3.800824399309876e+03
  -9.508823947275561e+03  1.010382279632564e+00 -1.756982047771631e+00  3.800824399309876e+03
  -9.508324459570760e+03  1.010276642454337e+00 -1.756981326943893e+00  3.805763416181782e+03
  -9.508324459570760e+03  1.010276642454337e+00 -1.756981326943893e+00  3.805763416181782e+03
